['12000_students/t_students.txt', '6:30', '23:59', '50']
--------CROWDED EDGES--------
722722002 640
152169589 335
721202195 331
721202194 319
721202200 249
167402604 237
152169642 210
152169600 200
448536286 199
152173980 196
418408259 189
167402568 186
152169542 174
151183979 174
680369130 173
43667477 171
726181175 155
151184859 155
237462367 152
152169607 150
152173974 146
151184877 146
151183987 135
680369139 134
151183957 131
152169656 127
152173958 125
314294738 123
151183990 123
43667493 123
680369133 121
205554782 121
167402569 119
167402586 118
151184865 117
151184825 116
151184842 114
418408233 112
151183975 109
43667438 109
143342005 109
720982704 109
151183954 108
17558874 106
721202199 103
137776166 99
726181112 99
43667574 96
153117565 95
152170429 94
--------TIME--------
start: 2021-04-24 20:55:01.337777
end: 2021-04-25 14:35:42.230450
timedelta: 17:40:40.892673
