['12000_students/w_students.txt', '6:30', '23:59', '50']
--------CROWDED EDGES--------
722722002 404
721202195 210
721202194 202
43667477 177
152169589 171
418408259 157
152169642 154
152169600 150
448536286 150
721202200 142
137776166 140
152169656 137
880857138 128
726181112 128
680369139 125
152173980 125
167402604 119
680369130 113
152173958 109
726181175 106
43667438 103
167402568 102
151183979 102
152173974 98
680369133 96
151184825 96
205554782 94
418408233 89
152169542 89
720982704 87
151183987 86
151184876 85
314294738 84
153121930 83
151184846 83
151183957 83
151184859 82
151184877 82
237462367 82
152169607 82
152169537 82
726181106 82
152169540 78
151184865 78
153117641 77
153124522 74
151183991 74
153117565 74
43667493 72
152169576 70
--------TIME--------
start: 2021-04-24 20:55:01.407102
end: 2021-04-25 15:00:47.027663
timedelta: 18:05:45.620561
