['120_students/m_students.txt', '7:00', '22:00', '50']
--------CROWDED EDGES--------
722722002 5
418408259 4
151184842 4
152173980 4
721202194 4
151184825 3
314294738 3
151183957 3
167402604 3
152169656 3
680369139 3
721202200 3
43667477 3
151184843 3
17558874 3
151183975 3
721202195 3
152173958 3
151183987 3
151183962 3
726181175 3
713728328 3
726181110 3
137776175 3
880857137 3
205554782 3
152169600 3
152169642 3
448536286 3
151184879 2
151183986 2
151184875 2
151183959 2
680369130 2
680369131 2
151183991 2
151183979 2
151184880 2
237462367 2
167402600 2
152169636 2
143342005 2
151184830 2
152169542 2
151183990 2
594678475 2
17540347 2
153117565 2
151183982 2
594678477 2
--------TIME--------
start: 2021-04-24 20:55:01.360422
end: 2021-04-24 21:26:21.038586
timedelta: 0:31:19.678164
