['120_students/r_students.txt', '7:00', '22:00', '50']
--------CROWDED EDGES--------
722722002 13
721202195 9
152169589 8
167402604 7
152173980 7
721202200 6
167402568 5
721202194 5
151184842 5
162046254 5
151183954 5
17558874 5
418408233 4
151184825 4
151184843 4
151183979 4
152168312 4
151183975 4
162046252 4
167402567 4
721202199 4
167402606 4
314294738 3
152173965 3
153124522 3
418408259 3
152169656 3
152173964 3
152169642 3
151184852 3
152173958 3
143342006 3
726163741 3
153117565 3
152169542 2
680369131 2
151183959 2
152169540 2
680369132 2
43667493 2
43667477 2
680369139 2
151184851 2
139943713 2
773087597 2
137776166 2
726181112 2
680369130 2
151184859 2
151184877 2
--------TIME--------
start: 2021-04-24 20:55:01.461254
end: 2021-04-24 21:25:18.143472
timedelta: 0:30:16.682218
