['12_students/f_students.txt', '7:30', '21:30', '50']
--------CROWDED EDGES--------
680369139 1
151183973 1
151184846 1
151183991 1
167402604 1
152173964 1
152169636 1
152169542 1
17540347 1
680369130 1
17558874 1
151183975 1
314294738 1
152169612 1
167402598 1
152173980 1
152169586 1
151184859 1
151184877 1
151183979 1
237462367 1
152169607 1
721202200 1
43667493 1
43667477 1
418408259 1
151184876 1
153121930 1
152169576 1
152169540 1
152173965 1
418408233 1
143342006 1
721202194 1
722722002 1
726181177 1
726181175 1
152173974 1
151184865 1
151183987 1
726181183 1
151183954 1
680369133 1
614556605 1
594631180 1
151184843 1
151184842 1
152168312 1
152169541 1
162046254 1
--------TIME--------
0:00:27.321235
