['60_students/f_students.txt', '7:30', '21:55', '50']
--------CROWDED EDGES--------
151183954 2
152169589 2
680369133 2
167402604 2
152169612 2
143342006 2
721202195 2
722722002 2
721202200 2
721202194 2
151184876 2
153121930 2
152169576 2
152169540 2
152173965 2
418408233 2
152169600 2
152169642 2
448536286 2
152168340 1
153117735 1
152168312 1
152168339 1
167402567 1
151184843 1
151184842 1
17537567 1
162046254 1
152173955 1
151184866 1
152173970 1
152168315 1
151183975 1
152168334 1
152168342 1
594678475 1
162046252 1
17558874 1
167402584 1
167402592 1
152173980 1
774535540 1
17540347 1
167402582 1
151183955 1
167402605 1
152169542 1
151183962 1
152173967 1
151184847 1
--------TIME--------
start: 2021-04-24 20:55:01.830887
end: 2021-04-24 21:03:28.658502
timedelta: 0:08:26.827615
