Course - Sec,Title,Cr,St,Max,Opn,Xlst,CRN,Instructor,When,Begin,End,Where
AME18491-01*,Undergraduate Research - FY,1,OP,5,5,,29613,"Goodwine, John",TBA,2/3/2021,5/11/2021,TBA
AME20210-01,Into to Desn. Thinking in EG,3,OP,90,27,,31649,"Seelinger, Michael",T R - 9:35A - 10:50A,2/3/2021,5/11/2021,DeBartolo Hall 141
AME20216-01,AME Laboratory I,1,OP,63,19,,25861,"Rumbach, Paul Ott, John",M - 11:40A - 12:30P,2/3/2021,5/11/2021,ONLINE COURSE
AME20217-01,AME Laboratory II,1,OP,70,4,Y,26061,"Rumbach, Paul Ott, John",F - 11:40A - 12:30P,2/3/2021,5/11/2021,ONLINE COURSE
AME20217-99,AME Laboratory II,1,CL,2,0,Y,29426,"Rumbach, Paul Ott, John",F - 11:40A - 12:30P,2/3/2021,5/11/2021,ONLINE COURSE
AME20221-01,Mechanics I,3,CL,12,0,,26883,"Ovaert, Timothy",T R - 2:20P - 3:35P,2/3/2021,5/11/2021,Jenkins and Nanovic Hall B052
AME20222-01,Mechanics II,3,OP,130,23,,20166,"Stanisic, Michael",M W F - 2:30P - 3:20P,2/3/2021,5/11/2021,DeBartolo Hall 101
AME20231-01,Thermodynamics,3,OP,70,8,,23024,"Powers, Joseph",T R - 9:35A - 10:50A,2/3/2021,5/11/2021,Jordan Hall of Science 105
AME20231-02,Thermodynamics,3,CL,65,0,,31648,"Zorlutuna, Pinar",M W F - 10:25A - 11:15A,2/3/2021,5/11/2021,ONLINE COURSE
AME20241-01,Solid Mechanics,3,OP,59,3,Y,20144,"Yoon, Sangpil",M W F - 1:00P - 1:50P,2/3/2021,5/11/2021,Morris Inn 190AB
AME20241-02*,Solid Mechanics,3,OP,60,13,,21398,"Cerrone, Albert",M W F - 1:00P - 1:50P,2/3/2021,5/11/2021,Nieuwland Science Hall 127
AME20241-03,Solid Mechanics,3,OP,60,23,,29438,"Ovaert, Timothy",M W F - 4:05P - 4:55P,2/3/2021,5/11/2021,Jordan Hall of Science 101
AME20241-99,Solid Mechanics,3,CL,1,0,Y,29512,"Yoon, Sangpil",M W F - 1:00P - 1:50P,2/3/2021,5/11/2021,Morris Inn 190AB
AME21216-002,AME Laboratory 1L,1,OP,9,1,,31646,"Rumbach, Paul Ott, John",T - 2:10P - 3:00P,2/3/2021,5/11/2021,Fitzpatrick Hall of Eng. B14
AME21216-003,AME Laboratory 1L,1,OP,9,8,,31645,"Rumbach, Paul Ott, John",T - 5:05P - 5:55P,2/3/2021,5/11/2021,Fitzpatrick Hall of Eng. B14
AME21216-005,AME Laboratory 1L,1,OP,9,1,,31643,"Rumbach, Paul Ott, John",R - 12:20P - 1:10P,2/3/2021,5/11/2021,Fitzpatrick Hall of Eng. B14
AME21216-02,AME Laboratory 1L,1,CL,9,0,,26064,"Ott, John Rumbach, Paul",T - 1:00P - 1:50P,2/3/2021,5/11/2021,Fitzpatrick Hall of Eng. B14
AME21216-03,AME Laboratory 1L,1,CL,9,0,,26062,"Ott, John Rumbach, Paul",T - 3:55P - 4:45P,2/3/2021,5/11/2021,Fitzpatrick Hall of Eng. B14
AME21216-05,AME Laboratory 1L,1,CL,9,0,,31642,"Rumbach, Paul Ott, John",R - 11:10A - 12:00P,2/3/2021,5/11/2021,Fitzpatrick Hall of Eng. B14
AME21217-02,AME Laboratory 2L,1,CL,16,0,Y,26162,"Ott, John Rumbach, Paul",T - 1:00P - 3:00P,2/3/2021,5/11/2021,Fitzpatrick Hall of Eng. B14
AME21217-03,AME Laboratory 2L,1,CL,18,0,,26884,"Rumbach, Paul Ott, John",T - 3:55P - 5:55P,2/3/2021,5/11/2021,Fitzpatrick Hall of Eng. B14
AME21217-04,AME Laboratory 2L,1,OP,18,3,,26163,"Ott, John Rumbach, Paul",W - 3:40P - 5:40P,2/3/2021,5/11/2021,Fitzpatrick Hall of Eng. B14
AME21217-05,AME Laboratory 2L,1,OP,18,1,,31641,"Rumbach, Paul Ott, John",R - 11:10A - 1:10P,2/3/2021,5/11/2021,Fitzpatrick Hall of Eng. B14
AME21217-99,AME Laboratory 2L,1,CL,2,0,Y,29427,"Ott, John Rumbach, Paul",T - 1:00P - 3:00P,2/3/2021,5/11/2021,Fitzpatrick Hall of Eng. B14
AME21267-01,Design Tools 1,2,OP,30,1,,25863,"Strebinger, Richard",T R - 11:10A - 12:25P,2/3/2021,5/11/2021,ONLINE COURSE
AME21267-02,Design Tools 1,2,OP,30,8,,25862,"Strebinger, Richard",T R - 12:45P - 2:00P,2/3/2021,5/11/2021,ONLINE COURSE
AME21268-01*,Design Tools 2,2,CL,28,0,Y,26164,"Wang, Jing",T R - 2:20P - 3:35P,2/3/2021,5/11/2021,Cushing Hall of Engineering 303
AME21268-02*,Design Tools 2,2,CL,30,0,,26165,"Wang, Jing",T R - 3:55P - 5:10P,2/3/2021,5/11/2021,Cushing Hall of Engineering 303
AME21268-99,Design Tools 2,2,CL,2,0,Y,29443,"Wang, Jing",T R - 2:20P - 3:35P,2/3/2021,5/11/2021,Cushing Hall of Engineering 303
AME24290-01,"Career Choices, Mech EG",1,OP,48,25,,33056,"Meyers, Kerry Seelinger, Michael",M W F - 12:00P - 12:55P,1/4/2021,1/27/2021,ONLINE COURSE
AME28491-01*,Undergraduate Research,1,CL,6,0,,29612,"Goodwine, John",TBA,2/3/2021,5/11/2021,TBA
AME28491-02*,Undergraduate Research,2,OP,7,1,,29623,"Goodwine, John",TBA,2/3/2021,5/11/2021,TBA
AME28491-03*,Undergraduate Research,3,OP,4,3,,29624,"Goodwine, John",TBA,2/3/2021,5/11/2021,TBA
AME30315-01,"Dif Eqs,Vibrations&Controls II",3,OP,135,19,,20917,"Schmiedeler, James",M W F - 8:00A - 8:50A,2/3/2021,5/11/2021,Washington Hall 200
AME30332-01,Compressible Aerodynamics,3,OP,38,10,,20421,"MacArt, Jonathan",M W F - 10:25A - 11:15A,2/3/2021,5/11/2021,DeBartolo Hall 136
AME30333-01,Theory/Experiment Aerodynamics,4,CL,27,0,,20678,"Jumper, Eric",M W F - 1:00P - 1:50P,2/3/2021,5/11/2021,Hayes Healy Center 117
AME30334-01,Heat Transfer,3,OP,90,5,,21167,"McClarren, Ryan",T R - 9:35A - 10:50A,2/3/2021,5/11/2021,DeBartolo Hall 102
AME30334-02,Heat Transfer,3,OP,50,2,,27794,"Rosenberger, Matthew",M W F - 9:10A - 10:00A,2/3/2021,5/11/2021,Nieuwland Science Hall 123
AME30381-01,Orbital and Space Dynamics,3,OP,47,6,,20385,"Matous, Karel",M W F - 2:30P - 3:20P,2/3/2021,5/11/2021,Hayes Healy Center 127
AME30386-01*,Intro to Bioengineering,3,OP,19,5,Y,27392,"Wang, Yichun",M W F - 11:40A - 12:30P,2/3/2021,5/11/2021,Hayes Healy Center 127
AME34391-01,Nanomat. Surf. Mod. Strategies,2,OP,20,8,,33057,"Nallathamby, Prakash",TBA,1/4/2021,1/27/2021,ONLINE COURSE
AME36099-01*,Directed Readings,3,OP,1,1,,24823,"Goodwine, John",TBA,2/3/2021,5/11/2021,TBA
AME36319-01*,Dir Rdngs: Differential Eqns,0,OP,5,4,,20346,"Goodwine, John",TBA,2/3/2021,5/11/2021,TBA
AME36329-01*,Dir Rdngs: Vibrations,0,OP,10,10,,20988,"Goodwine, John",TBA,2/3/2021,5/11/2021,TBA
AME36339-01*,Directed Readings - Fluids,0,OP,5,5,,20168,"Goodwine, John",TBA,2/3/2021,5/11/2021,TBA
AME36359-01*,Dir Rdngs: Controls,0,OP,5,5,,21122,"Goodwine, John",TBA,2/3/2021,5/11/2021,TBA
AME38491-01*,Undergraduate Research,1,OP,6,5,,29611,"Goodwine, John",TBA,2/3/2021,5/11/2021,TBA
AME38491-02*,Undergraduate Research,2,OP,6,3,,29625,"Goodwine, John",TBA,2/3/2021,5/11/2021,TBA
AME38491-03*,Undergraduate Research,3,OP,6,4,,29626,"Goodwine, John",TBA,2/3/2021,5/11/2021,TBA
AME40453-01*,Automation and Controls,1,CL,10,0,,29259,"Rumbach, Paul",W - 10:25A - 11:15A,2/3/2021,5/11/2021,Jenkins and Nanovic Hall B052
AME40462-01,Aerospace Design,4,OP,25,2,,20923,"Juliano, Thomas Sakaue, Hirotaka",M W - 8:00A - 9:15A,2/3/2021,5/11/2021,Stinson Remick Hall 212
AME40463-01,ME Senior Design Project,4,CL,30,0,,22201,"Stanisic, Michael",T R - 9:35A - 10:50A,2/3/2021,5/11/2021,Stinson Remick Hall 213
AME40463-02,ME Senior Design Project,4,OP,27,1,,25864,"Zhang, Yanliang",T R - 9:35A - 10:50A,2/3/2021,5/11/2021,Stinson Remick Hall 212
AME40463-03,ME Senior Design Project,4,OP,18,8,,31640,"Luo, Tengfei",M W - 8:00A - 9:15A,2/3/2021,5/11/2021,Stinson Remick Hall 213
AME40498-01*,Spc.Stud.Int'l Collab.Indus P,V,CL,1,0,,33451,"Goodwine, John",TBA,2/3/2021,5/11/2021,TBA
AME40530-01,"Wind Turb Perform, Cntrl, Desn",3,OP,54,4,Y,26066,"Corke, Thomas",M W - 3:55P - 5:10P,2/3/2021,5/11/2021,Morris Inn 190AB
AME40541-01,Finite Element Methods,3,OP,26,3,Y,29298,"Zahr, Matthew",M W F - 1:00P - 1:50P,2/3/2021,5/11/2021,Geddes Hall B34/36
AME40572-01,Introduction to Biomechanics,3,OP,45,4,Y,33249,"Holland, Maria",M W F - 9:10A - 10:00A,2/3/2021,5/11/2021,ONLINE COURSE
AME40623-01,Analytical Dynamics,3,OP,19,6,Y,31639,"Plecnik, Mark",T R - 12:45P - 2:00P,2/3/2021,5/11/2021,Bond Hall 325
AME40671-01*,Orthopaedic Biomechanics,3,OP,21,5,Y,29302,"Niebur, Glen",T R - 12:45P - 2:00P,2/3/2021,5/11/2021,Bond Hall 308
AME41453-01*,Automation and Controls Lab,2,CL,10,0,,29260,"Rumbach, Paul",M F - 9:10A - 11:15A,2/3/2021,5/11/2021,Fitzpatrick Hall of Eng. B14
AME41462-01,Aerospace Design Lab,0,OP,25,2,,22199,"Juliano, Thomas Sakaue, Hirotaka",M W - 9:35A - 10:50A,2/3/2021,5/11/2021,Stinson Remick Hall 212
AME41463-01,ME Senior Design Lab,0,CL,30,0,,22202,"Stanisic, Michael",T R - 11:10A - 12:25P,2/3/2021,5/11/2021,Stinson Remick Hall 213
AME41463-02,ME Senior Design Lab,0,OP,27,1,,25865,"Zhang, Yanliang",T R - 11:10A - 12:25P,2/3/2021,5/11/2021,Stinson Remick Hall 212
AME41463-03,ME Senior Design Lab,0,OP,18,8,,31636,"Luo, Tengfei",M W - 9:35A - 10:50A,2/3/2021,5/11/2021,Stinson Remick Hall 213
AME47560-001*,Independent UG Design Project,V,OP,7,7,,32958,"Go, David",TBA,1/4/2021,1/27/2021,ONLINE COURSE
AME47560-002*,Independent UG Design Project,V,OP,7,7,,32959,"Go, David",TBA,1/4/2021,1/27/2021,ONLINE COURSE
AME47560-003*,Independent UG Design Project,V,OP,7,7,,32960,"Go, David",TBA,1/4/2021,1/27/2021,ONLINE COURSE
AME47560-01*,Independent UG Design Project,1,OP,10,7,,27394,"Go, David",TBA,2/3/2021,5/11/2021,TBA
AME47560-02*,Independent UG Design Project,2,OP,10,5,,27395,"Go, David",TBA,2/3/2021,5/11/2021,TBA
AME47560-03*,Independent UG Design Project,3,OP,10,5,,27396,"Go, David",TBA,2/3/2021,5/11/2021,TBA
AME48491-001*,Undergraduate Research,V,OP,15,15,,32955,"Goodwine, John",TBA,1/4/2021,1/27/2021,ONLINE COURSE
AME48491-002*,Undergraduate Research,V,OP,10,9,,32961,"Goodwine, John",TBA,1/4/2021,1/27/2021,ONLINE COURSE
AME48491-003*,Undergraduate Research,V,OP,10,10,,32962,"Goodwine, John",TBA,1/4/2021,1/27/2021,ONLINE COURSE
AME48491-01*,Undergraduate Research,1,OP,10,7,,20238,"Goodwine, John",TBA,2/3/2021,5/11/2021,DEPARTMENTAL ASSIGNS
AME48491-02*,Undergraduate Research,2,OP,12,9,,25866,"Goodwine, John",TBA,2/3/2021,5/11/2021,TBA
AME48491-03*,Undergraduate Research,3,OP,30,24,,25867,"Goodwine, John",TBA,2/3/2021,5/11/2021,TBA
AME48495-01*,DaVinci Concentration Summary,0,OP,12,9,,26287,"Goodwine, John",TBA,2/3/2021,5/11/2021,TBA
AME50542-01,Eng Analysis/Manufact Process,3,OP,34,7,,25868,"Kinzel, Edward",M W F - 11:40A - 12:30P,2/3/2021,5/11/2021,Morris Inn 190A
AME50551-01,Introduction to Robotics,3,OP,45,8,,27795,"Wensing, Patrick",M W F - 2:30P - 3:20P,2/3/2021,5/11/2021,DeBartolo Hall 155
AME57520-01*,Mechatronic Football,3,OP,15,15,,23698,"Stanisic, Michael",T R - 3:55P - 5:10P,2/3/2021,5/11/2021,DEPARTMENTAL SPACE
AME57561-01*,Baja Build,3,OP,19,13,,23673,"Stanisic, Michael",T R - 3:55P - 5:10P,2/3/2021,5/11/2021,DEPARTMENTAL SPACE
AME57562-01*,Special Studies: Adv. Baja Des,3,OP,1,1,,27421,"Stanisic, Michael",TBA,2/3/2021,5/11/2021,TBA
AME60541-01,Finite Element Methods,3,OP,7,1,Y,29299,"Zahr, Matthew",M W F - 1:00P - 1:50P,2/3/2021,5/11/2021,Geddes Hall B34/36
AME60572-01,Introduction to Biomechanics,3,OP,5,2,Y,33251,"Holland, Maria",M W F - 9:10A - 10:00A,2/3/2021,5/11/2021,ONLINE COURSE
AME60612-01,Mathematical Methods II,3,OP,15,8,,25090,"Powers, Joseph",M W F - 11:40A - 12:30P,2/3/2021,5/11/2021,DeBartolo Hall 116
AME60614-01,Numerical Methods,3,OP,15,6,,24405,"Wang, Meng",T R - 12:45P - 2:00P,2/3/2021,5/11/2021,Fitzpatrick Hall of Eng. 356
AME60617-01,Data Assimilation & Parameter-,3,OP,38,16,,29249,"Wang, Jian-Xun",T R - 11:10A - 12:25P,2/3/2021,5/11/2021,DeBartolo Hall 136
AME60619-01,Fractional Calc for Engineers,3,OP,15,9,,31633,"Goodwine, John",M W - 3:55P - 5:10P,2/3/2021,5/11/2021,Corbett Family Hall E202
AME60623-01,Analytical Dynamics,3,OP,6,4,Y,31638,"Plecnik, Mark",T R - 12:45P - 2:00P,2/3/2021,5/11/2021,Bond Hall 325
AME60671-01,Orthopaedic Biomechanics,3,CL,4,0,Y,27799,"Niebur, Glen",T R - 12:45P - 2:00P,2/3/2021,5/11/2021,Bond Hall 308
