Course - Sec,Title,Cr,St,Max,Opn,Xlst,CRN,Instructor,When,Begin,End,Where
ACTG20100-01,Accountancy I,3,CL,3,0,Y,28729,"Larocque, Stephannie",T R - 11:10A - 12:25P,2/3/2021,5/11/2021,Geddes Hall B001
ACTG20100-02,Accountancy I,3,CL,3,0,Y,28730,"Larocque, Stephannie",T R - 12:45P - 2:00P,2/3/2021,5/11/2021,Geddes Hall B001
ACTG20100-04,Accountancy I,3,CL,0,0,Y,28737,"Stober, Thomas",M W - 12:45P - 2:00P,2/3/2021,5/11/2021,ONLINE COURSE
ACTG20100-05,Accountancy I,3,CL,0,0,Y,28731,"Stober, Thomas",M W - 2:20P - 3:35P,2/3/2021,5/11/2021,ONLINE COURSE
ACTG20100-06,Accountancy I,3,CL,0,0,Y,28732,"Stober, Thomas",M W - 11:10A - 12:25P,2/3/2021,5/11/2021,ONLINE COURSE
ACTG20100-07,Accountancy I,3,OP,5,2,Y,28733,"Kowaleski, Zachary",M W - 8:00A - 9:15A,2/3/2021,5/11/2021,Geddes Hall B001
ACTG20100-08,Accountancy I,3,OP,5,4,Y,28734,"Kowaleski, Zachary",M W - 9:35A - 10:50A,2/3/2021,5/11/2021,Geddes Hall B001
ACTG20100-09,Accountancy I,3,OP,5,3,Y,28735,"Kowaleski, Zachary",M W - 11:10A - 12:25P,2/3/2021,5/11/2021,Geddes Hall B001
ACTG20200-01,Accountancy II,3,OP,3,1,Y,28741,"Milani, Kenneth",M W F - 1:00P - 1:50P,2/3/2021,5/11/2021,ONLINE COURSE
ACTG20200-02,Accountancy II,3,OP,3,1,Y,28742,"Hums, Edward",M W F - 8:00A - 8:50A,2/3/2021,5/11/2021,DeBartolo Hall 126
ACTG20200-03,Accountancy II,3,OP,3,3,Y,28743,"O'Tousa, Janet",M W F - 9:10A - 10:00A,2/3/2021,5/11/2021,DeBartolo Hall 140
ACTG20200-04,Accountancy II,3,CL,3,0,Y,28744,"Meyer, Michael",M W F - 2:30P - 3:20P,2/3/2021,5/11/2021,DeBartolo Hall 126
ACTG20200-05,Accountancy II,3,CL,4,0,Y,28745,"Hums, Edward",M W F - 9:10A - 10:00A,2/3/2021,5/11/2021,DeBartolo Hall 126
ACTG20200-06,Accountancy II,3,CL,3,0,Y,28746,"Hums, Edward",M W F - 10:25A - 11:15A,2/3/2021,5/11/2021,DeBartolo Hall 126
ACTG20200-07,Accountancy II,3,OP,3,1,Y,28747,"O'Tousa, Janet",M W F - 2:30P - 3:20P,2/3/2021,5/11/2021,DeBartolo Hall 140
ACTG20200-10,Accountancy II,3,OP,3,2,Y,28750,"O'Tousa, Janet",M W F - 4:05P - 4:55P,2/3/2021,5/11/2021,DeBartolo Hall 140
ACTG20200-11,Accountancy II,3,OP,3,2,Y,28751,"Favorite, Michael",M W F - 11:40A - 12:30P,2/3/2021,5/11/2021,DeBartolo Hall 140
ACTG20200-12,Accountancy II,3,OP,3,3,Y,28752,"O'Tousa, Janet",M W F - 8:00A - 8:50A,2/3/2021,5/11/2021,DeBartolo Hall 140
ACTG20200-13,Accountancy II,3,OP,3,3,Y,28753,"Meyer, Michael",M W F - 4:05P - 4:55P,2/3/2021,5/11/2021,DeBartolo Hall 126
ACTG20200-14,Accountancy II,3,CL,3,0,Y,28754,"Meyer, Michael",M W F - 1:00P - 1:50P,2/3/2021,5/11/2021,DeBartolo Hall 126
ACTG20200-16,Accountancy II,3,OP,3,1,Y,28755,"Bellm, Sebastian",M W F - 1:00P - 1:50P,2/3/2021,5/11/2021,DeBartolo Hall 131
ACTG20200-18,Accountancy II,3,CL,3,0,Y,32305,"Creighton, Colleen",M W - 2:20P - 3:35P,2/3/2021,5/11/2021,DeBartolo Hall 129
