,When
0,M W - 4:05P - 4:55P
1,M W - 2:20P - 3:35P
2,T R - 3:55P - 5:10P
3,M W F - 11:40A - 12:30P
4,M W F - 10:25A - 11:15A
5,F - 4:05P - 4:55P
6,F - 4:05P - 4:55P
7,F - 4:05P - 4:55P
8,M W - 11:10A - 12:25P
9,T R - 3:55P - 5:10P
10,T R - 2:20P - 3:35P
11,T R - 2:20P - 3:35P
12,T R - 2:20P - 3:35P
13,T R - 12:45P - 2:00P
14,M W - 12:45P - 2:00P
15,M W - 11:10A - 12:25P
16,T - 9:35A - 12:20P
17,M W - 2:20P - 3:35P
18,T R - 3:55P - 5:10P
19,M W - 9:35A - 10:50A
20,T R - 9:35A - 10:50A
21,T R - 11:10A - 12:25P
22,T R - 2:20P - 3:35P
23,M W - 8:00A - 9:15A
24,T R - 11:10A - 12:25P
25,T R - 3:55P - 5:10P
26,(01) T - 9:35A - 10:50A(11) R - 9:35A - 10:50A
27,W - 2:00P - 4:30P
28,M - 6:30P - 9:00P
29,TBA
30,TBA
31,TBA
32,TBA
33,T - 9:35A - 12:20P
34,M W - 9:35A - 10:50A
35,M W - 11:10A - 12:25P
36,T R - 9:35A - 10:50A
37,T R - 3:55P - 5:10P
38,M W - 9:35A - 10:50A
39,R - 11:15A - 2:00P
40,T R - 9:35A - 10:50A
41,T R - 11:10A - 12:25P
42,T R - 2:20P - 3:35P
43,T R - 2:20P - 3:35P
44,M W - 8:00A - 9:15A
45,T R - 11:10A - 12:25P
46,W - 3:55P - 6:40P
47,W - 3:55P - 6:40P
48,TBA
49,TBA
50,TBA
51,TBA
52,TBA
53,TBA
54,TBA
55,TBA
56,TBA
57,TBA
58,TBA
59,TBA
60,TBA
61,TBA
62,TBA
63,TBA
64,TBA
65,TBA
66,TBA
67,TBA
68,TBA
69,TBA
70,TBA
71,TBA
72,TBA
73,TBA
74,TBA
75,TBA
76,TBA
77,TBA
78,TBA
79,TBA
80,TBA
81,TBA
82,TBA
83,TBA
84,TBA
85,TBA
86,TBA
87,TBA
88,TBA
89,TBA
90,TBA
91,TBA
92,TBA
93,TBA
94,TBA
95,TBA
96,TBA
97,TBA
98,TBA
99,TBA
100,TBA
101,TBA
102,TBA
103,TBA
104,TBA
105,TBA
106,TBA
107,TBA
108,TBA
109,TBA
110,TBA
111,TBA
112,TBA
113,TBA
114,TBA
115,TBA
116,TBA
117,TBA
118,TBA
119,TBA
120,TBA
121,TBA
122,W - 12:45P - 3:30P
123,T - 12:45P - 3:30P
124,R - 12:45P - 3:30P
125,TBA
126,TBA
127,TBA
128,TBA
129,TBA
130,TBA
131,TBA
132,TBA
133,TBA
134,TBA
135,TBA
136,TBA
137,TBA
138,TBA
139,TBA
140,TBA
141,TBA
142,TBA
143,TBA
144,TBA
145,TBA
146,TBA
147,TBA
148,TBA
149,TBA
150,TBA
151,TBA
152,TBA
153,TBA
154,TBA
155,TBA
156,TBA
157,TBA
158,TBA
159,TBA
160,TBA
161,TBA
162,TBA
163,TBA
164,TBA
165,TBA
166,TBA
167,TBA
168,TBA
169,TBA
170,TBA
171,TBA
172,TBA
173,TBA
174,TBA
175,TBA
176,TBA
177,TBA
178,TBA
179,TBA
180,TBA
181,TBA
182,TBA
183,TBA
184,TBA
185,TBA
186,TBA
187,TBA
188,TBA
189,TBA
190,TBA
191,TBA
192,TBA
193,TBA
194,TBA
195,TBA
196,TBA
197,TBA
198,TBA
199,M - 3:30P - 6:00P
200,R - 2:30P - 5:00P
201,T - 9:25A - 12:05P
202,TBA
203,T R - 12:45P - 2:00P
204,T R - 12:45P - 2:00P
205,T R - 9:35A - 10:50A
206,T R - 9:35A - 10:50A
207,T R - 2:20P - 3:35P
208,T R - 2:20P - 3:35P
209,M W - 8:00A - 9:15A
